"","Country","DS","FRE","HDI"
"185","South Ossetia",NA,"NF",NA
"186","South Sudan",NA,"NF",0.388
"187","Sri Lanka",NA,"PF",0.77
"188","St. Kitts and Nevis",NA,"F",NA
"189","St. Lucia",NA,"F",NA
"190","St. Vincent and the Grenadines",NA,"F",NA
"191","Swaziland",NA,"NF",NA
"192","Syria",NA,"NF",NA
"193","Taiwan",NA,"F",NA
"194","Tajikistan",NA,"NF",0.65
"195","Tanzania",NA,"PF",NA
"196","The Gambia",NA,"PF",NA
"197","Tibet",NA,"NF",NA
"198","Timor-Leste",NA,"F",0.625
"199","Tonga",NA,"F",0.726
"200","Transnistria",NA,"NF",NA
"201","Trinidad and Tobago",NA,"F",0.784
"202","Tunisia",NA,"F",0.735
"203","Tuvalu",NA,"F",NA
"204","United Arab Emirates",NA,"NF",0.863
"205","United Kingdom",NA,"F",0.922
"206","United States",NA,"F",0.924
"207","Venezuela",NA,"NF",NA
"208","Vietnam",NA,"NF",NA
"209","West Bank",NA,"NF",NA
"210","Western Sahara",NA,"NF",NA
"211","Zambia",NA,"PF",0.588
"212","Bolivia (Plurinational State of)",NA,NA,0.693
"213","Brunei Darussalam",NA,NA,0.853
"214","C?te d'Ivoire",NA,NA,0.492
"215","Cabo Verde",NA,NA,0.654
"216","Congo (Democratic Republic of the)",NA,NA,0.457
"217","Czechia",NA,NA,0.888
"218","Eswatini (Kingdom of)",NA,NA,0.588
"219","Hong Kong, China (SAR)",NA,NA,0.933
"220","Iran (Islamic Republic of)",NA,NA,0.798
"221","Korea (Republic of)",NA,NA,0.903
"222","Lao People's Democratic Republic",NA,NA,0.601
"223","Micronesia (Federated States of)",NA,NA,0.627
"224","Moldova (Republic of)",NA,NA,0.7
"225","Palestine, State of",NA,NA,0.686
"226","Russian Federation",NA,NA,0.816
"227","Saint Kitts and Nevis",NA,NA,0.778
"228","Saint Lucia",NA,NA,0.747
"229","Saint Vincent and the Grenadines",NA,NA,0.723
"230","Syrian Arab Republic",NA,NA,0.536
"231","Tanzania (United Republic of)",NA,NA,0.538
"232","The former Yugoslav Republic of Macedonia",NA,NA,0.757
"233","Venezuela (Bolivarian Republic of)",NA,NA,0.761
"234","Viet Nam",NA,NA,0.694
